区市町村,平成14年の出生数,平成15年の出生数,平成16年の出生数,平成17年の出生数,平成18年の出生数,平成19年の出生数,平成20年の出生数,平成21年の出生数,平成22年の出生数,平成23年の出生数,平成24年の出生数,平成25年の出生数,平成26年の出生数,平成27年の出生数,平成28年の出生数,平成14年の出生率（人口千対）,平成15年の出生率（人口千対）,平成16年の出生率（人口千対）,平成17年の出生率（人口千対）,平成18年の出生率（人口千対）,平成19年の出生率（人口千対）,平成20年の出生率（人口千対）,平成21年の出生率（人口千対）,平成22年の出生率（人口千対）,平成23年の出生率（人口千対）,平成24年の出生率（人口千対）,平成25年の出生率（人口千対）,平成26年の出生率（人口千対）,平成27年の出生率（人口千対）,平成28年の出生率（人口千対）
羽村市,600,545,513,503,517,522,522,513,503,458,434,461,414,373,412,10.7,9.7,9.1,9.1,9.1,9.2,9.1,9,9,8.1,7.7,8.2,7.4,6.8,7.4
あきる野市,701,664,763,689,710,698,633,668,674,647,623,619,598,557,512,8.8,8.3,9.5,8.7,8.9,8.7,7.9,8.3,8.4,8,7.7,7.7,7.4,6.9,6.3
西東京市,1557,1568,1524,1550,1582,1607,1642,1463,1653,1712,1609,1541,1524,1558,1520,8.5,8.4,8.1,8.3,8.2,8.3,8.5,7.5,8.5,8.6,8.1,7.8,7.6,7.9,7.6
瑞穂町,288,298,275,281,264,230,240,219,219,213,213,210,222,207,211,8.6,8.8,8.2,8.4,7.8,6.8,7.2,6.5,6.6,6.4,6.4,6.3,6.7,6.3,6.3
日の出町,77,79,72,75,97,79,104,118,133,137,158,148,132,121,140,4.7,4.9,4.5,4.7,6.1,4.9,6.5,7.2,8,8.1,9.3,8.7,7.7,7,8
檜原村,15,9,5,12,11,9,6,13,8,10,16,8,6,10,10,4.8,3,1.7,4.1,3.8,3.2,2.2,4.9,3.1,4,6.7,3.4,2.7,4.6,4.7
奥多摩町,40,22,25,23,17,22,22,14,12,19,19,17,14,6,15,5.5,3.1,3.6,3.4,2.6,3.4,3.5,2.3,2,3.2,3.3,3.1,2.6,1.2,2.9
大島町,65,67,59,67,56,71,60,58,63,64,56,67,44,43,46,7.3,7.5,6.7,7.7,6.5,8.3,7,6.9,7.5,7.6,6.8,8.3,5.5,5.5,5.9
利島村,1,1,2,3,5,2,5,3,3,4, - ,3,3,6,2,3.2,3.3,6.5,9.8,16,6.6,16.1,9.9,8.8,11.7, - ,9,9,17.9,5.9
新島村,24,32,25,23,28,19,18,15,15,24,19,20,17,13,19,7.6,10.4,8,7.3,8.9,6.1,5.9,5,5.2,8.5,6.8,7.3,6.3,4.7,7.1
神津島村,21,14,22,22,14,15,18,16,16,13,17,27,7,21,13,10,6.7,10.7,10.7,6.9,7.7,9.2,8.4,8.5,6.9,9,14.5,3.8,11.1,7.1
三宅村,15,11,17,8,13,7,19,22,19,9,24,8,20,18,14,…,…,…,3.3,5.3,2.9,7.9,9.3,7.2,3.4,9.1,3.1,7.8,7.4,5.7
御蔵島村,1,3,3,3,3,3,4,3,8,5,7,5,5,4,7,3.3,9.6,9.8,10.3,10.9,10.4,13,9.4,23.1,14.3,20.1,14.3,15.2,12,21.3
八丈町,75,73,67,67,70,58,49,52,52,54,47,50,54,57,65,8,7.9,7.4,7.7,8,6.7,5.8,6.2,6.4,6.6,5.8,6.3,6.9,7.6,8.6
青ケ島村,3,3,1,2,1,1, - , - ,1, - ,1, - , - ,1,1,15,14.9,5.1,9.4,4.7,4.7, - , - ,5.1, - ,5.1, - , - ,5.6,6
小笠原村,37,33,37,30,28,30,37,40,40,33,33,26,34,38,21,13.3,12,13.4,11.1,10.2,10.9,13.3,14.1,14.4,11.6,11.4,9.1,12,12.6,6.9
注1  三宅村は火山噴火に伴い、平成12年国勢調査人口がゼロであるため、三宅村の平成12年から平成16年の出生率は算出していない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      また、平成16年までの「島部｣の出生率は三宅村の出生数を除いた値で算出した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
